kule
t	x	y
0.000	-1.738E-2	0.412
0.033	-1.335E-2	0.411
0.067	-3.537E-3	0.404
0.100	9.522E-3	0.394
0.133	2.611E-2	0.385
0.167	4.590E-2	0.373
0.200	6.906E-2	0.361
0.234	9.602E-2	0.347
0.267	0.127	0.333
0.300	0.162	0.320
0.334	0.199	0.310
0.367	0.239	0.303
0.400	0.281	0.298
0.434	0.322	0.296
0.467	0.364	0.294
0.501	0.407	0.290
0.534	0.449	0.285
0.567	0.493	0.277
0.601	0.538	0.265
0.634	0.586	0.250
0.667	0.631	0.226
0.701	0.679	0.200
0.734	0.731	0.172
0.767	0.787	0.145
0.801	0.849	0.124
0.834	0.915	0.118
0.868	0.980	0.128
0.901	1.039	0.151
0.934	1.093	0.176
0.968	1.145	0.197
1.001	1.196	0.211
1.034	1.249	0.218
1.068	1.301	0.222
1.101	1.352	0.224
1.134	1.405	0.223
1.168	1.456	0.224
