mass_A
t	x	y
0.000	-1.899E-2	0.413
0.033	-1.152E-2	0.412
0.067	-6.531E-3	0.410
0.100	4.765E-3	0.396
0.133	1.947E-2	0.388
0.167	3.836E-2	0.377
0.200	6.023E-2	0.364
0.234	8.638E-2	0.353
0.267	0.115	0.340
0.300	0.147	0.324
0.334	0.184	0.316
0.367	0.223	0.307
0.400	0.264	0.301
0.434	0.305	0.297
0.467	0.348	0.294
0.500	0.389	0.291
0.534	0.432	0.287
0.567	0.475	0.280
0.601	0.520	0.271
0.634	0.565	0.256
0.667	0.611	0.237
0.701	0.659	0.211
0.734	0.709	0.184
0.767	0.765	0.157
0.801	0.824	0.132
0.834	0.889	0.120
0.868	0.955	0.125
0.901	1.018	0.141
0.934	1.073	0.170
0.968	1.128	0.188
1.001	1.179	0.213
1.034	1.231	0.222
1.068	1.282	0.229
